stem	status	item_dir	output_dir
images1	ok	/path/to/mdc/internvl3_5/batch/images1	/path/to/mdc/internvl3_5/batch/images1/om_output
images2	ok	/path/to/mdc/internvl3_5/batch/images2	/path/to/mdc/internvl3_5/batch/images2/om_output
