stem	status	item_dir	output_dir
20260616-111801	ok	/home/mdc/guanxj/qwen3-vl/batch/20260616-111801	/home/mdc/guanxj/qwen3-vl/batch/20260616-111801/om_output
20260616-111807	ok	/home/mdc/guanxj/qwen3-vl/batch/20260616-111807	/home/mdc/guanxj/qwen3-vl/batch/20260616-111807/om_output
20260616-111812	ok	/home/mdc/guanxj/qwen3-vl/batch/20260616-111812	/home/mdc/guanxj/qwen3-vl/batch/20260616-111812/om_output
20260616-111819	ok	/home/mdc/guanxj/qwen3-vl/batch/20260616-111819	/home/mdc/guanxj/qwen3-vl/batch/20260616-111819/om_output
20260616-111824	ok	/home/mdc/guanxj/qwen3-vl/batch/20260616-111824	/home/mdc/guanxj/qwen3-vl/batch/20260616-111824/om_output
20260616-111832	ok	/home/mdc/guanxj/qwen3-vl/batch/20260616-111832	/home/mdc/guanxj/qwen3-vl/batch/20260616-111832/om_output
20260616-111836	ok	/home/mdc/guanxj/qwen3-vl/batch/20260616-111836	/home/mdc/guanxj/qwen3-vl/batch/20260616-111836/om_output
